player,games,wins,winrate,elo,main_position,champion_pool,recent_winrate
Keria,561,360,0.6417112299465241,1515.8419261588654,sup,56,0.4
ShowMaker,543,342,0.6298342541436464,1530.0549750553382,mid,55,0.5
Chovy,533,372,0.6979362101313321,1751.0110415333222,mid,59,0.6
Kiin,533,310,0.5816135084427767,1728.9698199008415,top,53,0.7
Doran (Choi Hyeon-joon),528,348,0.6590909090909091,1625.1801609359463,top,51,0.6
Canyon,523,364,0.6959847036328872,1726.0471615306344,jng,49,0.7
Lehends,522,325,0.6226053639846744,1665.85600620168,sup,39,0.4
Deft,517,288,0.5570599613152805,1465.714215403457,bot,29,0.5
Bdd,514,300,0.5836575875486382,1466.6605120040458,mid,45,0.5
Faker,513,337,0.6569200779727096,1516.2862157597033,mid,54,0.4
BeryL,493,276,0.5598377281947262,1505.2077250923282,sup,48,0.5
Peanut,458,309,0.6746724890829694,1625.181001413828,jng,38,0.6
Rascal,449,216,0.48106904231625836,1263.244223877209,top,45,0.2
Aiming,435,241,0.5540229885057472,1530.311395947151,bot,27,0.5
Cuzz,429,248,0.578088578088578,1444.6189518300416,jng,37,0.4
Kingen,428,203,0.4742990654205608,1496.2545505271337,top,46,0.3
Kellin,421,237,0.5629453681710214,1510.4762752148906,sup,30,0.4
Effort,419,186,0.4439140811455847,1431.542102296986,sup,36,0.5
Delight,407,230,0.5651105651105651,1594.8884169582832,sup,33,0.5
Pyosik,403,203,0.5037220843672456,1464.162619980785,jng,38,0.5
Life,399,230,0.5764411027568922,1462.8198167544128,sup,35,0.2
Teddy,395,187,0.47341772151898737,1310.7875491426341,bot,23,0.3
Gumayusi,391,251,0.6419437340153452,1499.1128460155626,bot,26,0.4
Oner,376,245,0.651595744680851,1498.7432728165477,jng,31,0.4
Canna,362,203,0.5607734806629834,1576.4428158928665,top,36,0.7
Zeus,355,234,0.6591549295774648,1515.8419108492253,top,39,0.4
Hena,353,129,0.3654390934844193,1423.0564198599538,bot,21,0.3
Lucid (Choi Yong-hyeok),353,213,0.603399433427762,1530.0020432414926,jng,29,0.5
Viper (Park Do-hyeon),348,184,0.5287356321839081,1593.0590096232988,bot,25,0.5
