team1,team2,games,team1_winrate
Dplus KIA,OKSavingsBank BRION,19,0.631578947368421
Dplus KIA,Gen.G,32,0.25
Hanwha Life Esports,OKSavingsBank BRION,16,0.8125
Hanwha Life Esports,KT Rolster,65,0.3384615384615385
Hanwha Life Esports,Nongshim RedForce,45,0.6888888888888889
Gen.G,OKSavingsBank BRION,13,0.8461538461538461
DRX,Nongshim RedForce,44,0.4772727272727273
Dplus KIA,T1,30,0.23333333333333334
Gen.G,Nongshim RedForce,34,0.9705882352941176
Nongshim RedForce,T1,40,0.35
Gen.G,Hanwha Life Esports,69,0.7681159420289855
KT Rolster,Kwangdong Freecs,27,0.5555555555555556
DRX,OKSavingsBank BRION,17,0.6470588235294118
DRX,Kwangdong Freecs,33,0.5757575757575758
BNK FEARX,OKSavingsBank BRION,5,0.8
Gen.G,T1,91,0.5164835164835165
Dplus KIA,Hanwha Life Esports,27,0.5185185185185185
Dplus KIA,Nongshim RedForce,18,0.9444444444444444
Hanwha Life Esports,T1,68,0.5
Kwangdong Freecs,OKSavingsBank BRION,18,0.4444444444444444
BNK FEARX,KT Rolster,6,0.5
DRX,KT Rolster,46,0.30434782608695654
BNK FEARX,Kwangdong Freecs,6,0.5
KT Rolster,OKSavingsBank BRION,14,0.7857142857142857
BNK FEARX,DRX,5,0.4
Dplus KIA Challengers,KT Rolster Challengers,40,0.5
Dplus KIA Challengers,Kwangdong Freecs Challengers,28,0.75
Dplus KIA Challengers,T1 Esports Academy,20,0.7
KT Rolster Challengers,Kwangdong Freecs Challengers,37,0.7567567567567568
KT Rolster Challengers,T1 Esports Academy,17,0.8823529411764706
KT Rolster,T1,68,0.35294117647058826
BNK FEARX,Dplus KIA,9,0.2222222222222222
Hanwha Life Esports Challengers,Kwangdong Freecs Challengers,30,0.5
BNK FEARX Youth,T1 Esports Academy,10,0.6
Nongshim RedForce,OKSavingsBank BRION,15,0.8
BNK FEARX,T1,5,0.4
Dplus KIA,KT Rolster,25,0.52
BNK FEARX,Hanwha Life Esports,4,0.0
DRX Challengers,OKSavingsBank BRION Challengers,15,0.5333333333333333
Hanwha Life Esports Challengers,Nongshim Esports Academy,25,0.44
Gen.G Global Academy,Kwangdong Freecs Challengers,19,0.47368421052631576
Kwangdong Freecs,T1,32,0.1875
Dplus KIA Challengers,OKSavingsBank BRION Challengers,18,0.7777777777777778
DRX Challengers,Hanwha Life Esports Challengers,33,0.5454545454545454
Gen.G Global Academy,Nongshim Esports Academy,20,0.25
BNK FEARX Youth,KT Rolster Challengers,6,0.5
Kwangdong Freecs Challengers,T1 Esports Academy,16,0.5
OKSavingsBank BRION,T1,14,0.21428571428571427
DRX,Hanwha Life Esports,45,0.26666666666666666
Gen.G,KT Rolster,61,0.6065573770491803
OKSavingsBank BRION Challengers,T1 Esports Academy,15,0.4666666666666667
Gen.G Global Academy,KT Rolster Challengers,19,0.21052631578947367
Dplus KIA Challengers,Hanwha Life Esports Challengers,28,0.6428571428571429
Kwangdong Freecs Challengers,Nongshim Esports Academy,19,0.2631578947368421
BNK FEARX Youth,DRX Challengers,4,1.0
DRX,Gen.G,45,0.2222222222222222
Dplus KIA Challengers,Nongshim Esports Academy,33,0.5757575757575758
BNK FEARX Youth,OKSavingsBank BRION Challengers,5,0.4
Hanwha Life Esports Challengers,T1 Esports Academy,16,0.625
DRX Challengers,Gen.G Global Academy,20,0.75
Kwangdong Freecs,Nongshim RedForce,27,0.7037037037037037
Dplus KIA,Kwangdong Freecs,19,0.631578947368421
BNK FEARX Youth,Dplus KIA Challengers,5,0.2
DRX Challengers,Nongshim Esports Academy,23,0.5217391304347826
BNK FEARX,Gen.G,4,0.0
Gen.G Global Academy,T1 Esports Academy,16,0.4375
KT Rolster Challengers,OKSavingsBank BRION Challengers,13,0.9230769230769231
DRX Challengers,T1 Esports Academy,14,0.5
Dplus KIA Challengers,Gen.G Global Academy,18,0.8888888888888888
BNK FEARX Youth,Kwangdong Freecs Challengers,4,0.5
Nongshim Esports Academy,OKSavingsBank BRION Challengers,14,0.6428571428571429
Hanwha Life Esports Challengers,KT Rolster Challengers,34,0.5
KT Rolster,Nongshim RedForce,45,0.5777777777777777
DRX,T1,44,0.22727272727272727
Gen.G,Kwangdong Freecs,27,0.8518518518518519
Kwangdong Freecs Challengers,OKSavingsBank BRION Challengers,14,0.42857142857142855
Gen.G Global Academy,Hanwha Life Esports Challengers,22,0.18181818181818182
DRX,Dplus KIA,21,0.09523809523809523
Hanwha Life Esports,Kwangdong Freecs,31,0.7096774193548387
DRX Challengers,Dplus KIA Challengers,27,0.2962962962962963
BNK FEARX Youth,Nongshim Esports Academy,5,0.6
BNK FEARX,Nongshim RedForce,5,0.8
Hanwha Life Esports Challengers,OKSavingsBank BRION Challengers,16,0.5
BNK FEARX Youth,Gen.G Global Academy,6,0.5
DRX Challengers,KT Rolster Challengers,36,0.5833333333333334
Nongshim Esports Academy,T1 Esports Academy,14,0.5
BNK FEARX Youth,Hanwha Life Esports Challengers,6,0.3333333333333333
Gen.G Global Academy,OKSavingsBank BRION Challengers,16,0.5
DRX Challengers,Kwangdong Freecs Challengers,26,0.6153846153846154
KT Rolster Challengers,Nongshim Esports Academy,26,0.6923076923076923
FearX Youth,Nongshim Esports Academy,8,0.125
FearX,OKSavingsBank BRION,4,1.0
FearX,Nongshim RedForce,6,0.5
FearX Youth,KT Rolster Challengers,6,0.3333333333333333
FearX Youth,T1 Esports Academy,4,1.0
FearX,Kwangdong Freecs,6,0.5
DRX,FearX,5,0.2
FearX Youth,OKSavingsBank BRION Challengers,4,0.5
FearX Youth,Kwangdong Freecs Challengers,4,0.0
Dplus KIA,FearX,5,0.8
FearX Youth,Gen.G Global Academy,6,0.6666666666666666
FearX,KT Rolster,4,0.0
FearX Youth,Hanwha Life Esports Challengers,5,0.4
FearX,Hanwha Life Esports,5,0.2
Dplus KIA Challengers,FearX Youth,5,0.2
FearX,T1,4,0.0
FearX,Gen.G,4,0.0
DRX Challengers,FearX Youth,5,0.6
KT Rolster,Liiv SANDBOX,33,0.5757575757575758
Liiv SANDBOX,T1,31,0.2903225806451613
DRX Challengers,Liiv SANDBOX Youth,12,0.5833333333333334
Liiv SANDBOX Youth,T1 Esports Academy,4,0.5
Liiv SANDBOX,OKSavingsBank BRION,5,0.8
Gen.G Global Academy,Liiv SANDBOX Youth,11,0.5454545454545454
Gen.G,Liiv SANDBOX,32,0.75
Liiv SANDBOX Youth,OKSavingsBank BRION Challengers,5,0.2
DRX,Liiv SANDBOX,37,0.35135135135135137
KT Rolster Challengers,Liiv SANDBOX Youth,9,0.8888888888888888
Hanwha Life Esports,Liiv SANDBOX,29,0.41379310344827586
Hanwha Life Esports Challengers,Liiv SANDBOX Youth,10,0.8
Kwangdong Freecs,Liiv SANDBOX,18,0.5
Liiv SANDBOX Youth,Nongshim Esports Academy,10,0.2
Dplus KIA,Liiv SANDBOX,8,0.75
Kwangdong Freecs Challengers,Liiv SANDBOX Youth,11,0.36363636363636365
Liiv SANDBOX,Nongshim RedForce,34,0.4411764705882353
Dplus KIA Challengers,Liiv SANDBOX Youth,10,0.7
Dplus KIA Challengers,T1 Challengers,11,0.5454545454545454
DRX Challengers,T1 Challengers,18,0.5
Hanwha Life Esports Challengers,T1 Challengers,15,0.3333333333333333
BRION,Nongshim RedForce,4,0.5
BRION Challengers,Nongshim Esports Academy,4,0.5
BRION,Liiv SANDBOX,5,0.2
BRION Challengers,Kwangdong Freecs Challengers,4,0.5
Gen.G Global Academy,T1 Challengers,6,0.3333333333333333
BRION,Dplus KIA,5,0.2
BRION,KT Rolster,4,0.0
BRION Challengers,T1 Challengers,5,0.2
Nongshim Esports Academy,T1 Challengers,6,0.5
BRION Challengers,DRX Challengers,4,0.0
BRION,Gen.G,4,0.0
BRION,T1,4,0.0
BRION Challengers,Hanwha Life Esports Challengers,5,0.2
Liiv SANDBOX Youth,T1 Challengers,4,0.0
BRION Challengers,Dplus KIA Challengers,5,0.2
KT Rolster Challengers,T1 Challengers,13,0.6923076923076923
BRION,DRX,6,0.5
Kwangdong Freecs Challengers,T1 Challengers,13,0.46153846153846156
BRION,Hanwha Life Esports,6,0.3333333333333333
BRION Challengers,Liiv SANDBOX Youth,5,0.6
BRION Challengers,KT Rolster Challengers,4,0.0
BRION,Kwangdong Freecs,6,0.6666666666666666
BRION Challengers,Gen.G Global Academy,4,0.0
DWG KIA Challengers,Nongshim RedForce Challengers,17,0.5882352941176471
DRX Challengers,DWG KIA Challengers,13,0.46153846153846156
Nongshim RedForce Challengers,T1 Challengers,18,0.3888888888888889
DWG KIA,T1,30,0.43333333333333335
DWG KIA,KT Rolster,24,0.625
KT Rolster Challengers,Nongshim RedForce Challengers,13,0.38461538461538464
DRX Challengers,Gen.G Challengers,13,0.6153846153846154
Fredit BRION,Liiv SANDBOX,18,0.4444444444444444
DWG KIA Challengers,KT Rolster Challengers,13,0.5384615384615384
Hanwha Life Esports Challengers,Liiv SANDBOX Challengers,8,0.125
Gen.G Challengers,Nongshim RedForce Challengers,8,0.375
Fredit BRION Challengers,T1 Challengers,7,0.0
DWG KIA,Kwangdong Freecs,8,1.0
Liiv SANDBOX Challengers,T1 Challengers,8,0.125
Gen.G Challengers,Hanwha Life Esports Challengers,8,0.875
Kwangdong Freecs Challengers,Nongshim RedForce Challengers,7,0.7142857142857143
Fredit BRION Challengers,KT Rolster Challengers,8,0.375
Fredit BRION,Gen.G,17,0.17647058823529413
DWG KIA Challengers,Liiv SANDBOX Challengers,10,0.6
Fredit BRION Challengers,Kwangdong Freecs Challengers,8,0.625
Gen.G Challengers,KT Rolster Challengers,7,0.42857142857142855
DRX Challengers,Liiv SANDBOX Challengers,8,0.875
DWG KIA Challengers,Fredit BRION Challengers,12,0.75
Fredit BRION,Hanwha Life Esports,23,0.43478260869565216
DWG KIA,Gen.G,30,0.5333333333333333
Fredit BRION Challengers,Gen.G Challengers,8,0.125
Kwangdong Freecs Challengers,Liiv SANDBOX Challengers,8,0.625
Fredit BRION,KT Rolster,21,0.3333333333333333
DWG KIA Challengers,Gen.G Challengers,7,0.8571428571428571
DRX Challengers,Nongshim RedForce Challengers,13,0.46153846153846156
Fredit BRION Challengers,Liiv SANDBOX Challengers,8,0.5
DWG KIA,Liiv SANDBOX,16,0.875
Liiv SANDBOX Challengers,Nongshim RedForce Challengers,8,0.25
Gen.G Challengers,Kwangdong Freecs Challengers,8,0.75
Fredit BRION Challengers,Hanwha Life Esports Challengers,6,0.5
DWG KIA Challengers,T1 Challengers,7,0.2857142857142857
DWG KIA Challengers,Hanwha Life Esports Challengers,10,0.7
Fredit BRION Challengers,Nongshim RedForce Challengers,7,0.42857142857142855
Gen.G Challengers,Liiv SANDBOX Challengers,8,0.375
Fredit BRION,Nongshim RedForce,19,0.5789473684210527
Fredit BRION,Kwangdong Freecs,11,0.36363636363636365
Gen.G Challengers,T1 Challengers,7,0.5714285714285714
Hanwha Life Esports Challengers,Nongshim RedForce Challengers,8,0.5
DRX Challengers,Fredit BRION Challengers,7,0.8571428571428571
DWG KIA Challengers,Kwangdong Freecs Challengers,8,0.625
KT Rolster Challengers,Liiv SANDBOX Challengers,8,0.5
DWG KIA,Hanwha Life Esports,22,0.8636363636363636
Fredit BRION,T1,19,0.2631578947368421
DRX,DWG KIA,19,0.3157894736842105
DWG KIA,Nongshim RedForce,22,0.7272727272727273
DRX,Fredit BRION,21,0.7142857142857143
DWG KIA,Fredit BRION,20,0.7
Gen.G Challengers,Shadow EK,3,0.3333333333333333
Fredit BRION Challengers,LNG Academy,3,0.6666666666666666
