gameid,date,patch,gamelength,blue_team,red_team,blue_win,blue_champ1,blue_champ2,blue_champ3,blue_champ4,blue_champ5,red_champ1,red_champ2,red_champ3,red_champ4,red_champ5,blue_kills,red_kills,blue_gold,red_gold,blue_dragons,red_dragons,blue_barons,red_barons,blue_towers,red_towers,blue_ban1,red_ban1,blue_ban2,red_ban2,blue_ban3,red_ban3,blue_ban4,red_ban4,blue_ban5,red_ban5,blue_top,red_top,blue_jng,red_jng,blue_mid,red_mid,blue_bot,red_bot,blue_sup,red_sup
2024 LoL KeSPA Cup_Finals_1_4,2024-12-08 09:03:00,14.23,42.433333333333,Dplus KIA,OKSavingsBank BRION,0,K'Sante,Viego,Aurora,Varus,Maokai,Jax,Sejuani,Azir,Jhin,Rell,16,18,75533,76426,3,3,1,0,5,9,Vi,LeBlanc,Renekton,Poppy,Skarner,Ambessa,Ashe,Nocturne,Kalista,Lee Sin,Siwoo,Morgan,Lucid (Choi Yong-hyeok),HamBak,ShowMaker,Clozer,Aiming,Hype (Byeon Jeong-hyeon),BeryL,Pollu
2024 LoL KeSPA Cup_Finals_1_3,2024-12-08 08:03:00,14.23,36.966666666667,OKSavingsBank BRION,Dplus KIA,1,Rumble,Skarner,Corki,Varus,Rell,Jax,Sejuani,Aurora,Ashe,Braum,23,15,75763,67102,2,3,2,0,10,5,LeBlanc,Vi,Poppy,Nocturne,Ambessa,Azir,Lee Sin,Gragas,Viego,Maokai,Morgan,Siwoo,HamBak,Lucid (Choi Yong-hyeok),Clozer,ShowMaker,Hype (Byeon Jeong-hyeon),Aiming,Pollu,BeryL
2024 LoL KeSPA Cup_Finals_1_2,2024-12-08 07:12:00,14.23,26.583333333333,Dplus KIA,OKSavingsBank BRION,1,Jax,Lee Sin,Aurora,Xayah,Maokai,Rumble,Nocturne,Yone,Kai'Sa,Nautilus,25,8,56503,43774,4,0,1,0,9,1,Renekton,Poppy,Vi,Skarner,K'Sante,Ambessa,Kalista,Ashe,Rakan,Varus,Siwoo,Morgan,Lucid (Choi Yong-hyeok),HamBak,ShowMaker,Clozer,Aiming,Hype (Byeon Jeong-hyeon),BeryL,Pollu
2024 LoL KeSPA Cup_Finals_1_1,2024-12-08 06:20:00,14.23,27.45,OKSavingsBank BRION,Dplus KIA,1,Jax,Vi,Taliyah,Varus,Rell,K'Sante,Nocturne,Sylas,Ashe,Alistar,27,14,58587,46522,2,1,1,0,10,1,LeBlanc,Aurora,Poppy,Skarner,Azir,Ambessa,Bard,Renekton,Ahri,Rakan,Morgan,Siwoo,HamBak,Lucid (Choi Yong-hyeok),Clozer,ShowMaker,Hype (Byeon Jeong-hyeon),Aiming,Pollu,BeryL
2024 LoL KeSPA Cup_Semifinals_2_3,2024-12-07 11:28:00,14.23,26.25,Gen.G,Dplus KIA,0,Gnar,Nidalee,Azir,Ashe,Leona,Jax,Lee Sin,Yone,Ziggs,Poppy,7,20,43395,52408,0,4,0,0,2,8,Sejuani,K'Sante,Vi,Aurora,Ambessa,Skarner,LeBlanc,Renekton,Rakan,Maokai,Kiin,Siwoo,Canyon,Lucid (Choi Yong-hyeok),Kemish,ShowMaker,About,Aiming,Duro,BeryL
2024 LoL KeSPA Cup_Semifinals_2_2,2024-12-07 10:39:00,14.23,27.9,Dplus KIA,Gen.G,1,Ambessa,Sejuani,Smolder,Ezreal,Leona,Renekton,Zyra,Corki,Ashe,Nautilus,21,17,57664,50762,3,1,1,0,8,4,K'Sante,LeBlanc,Nidalee,Vi,Aurora,Skarner,Poppy,Rakan,Braum,Azir,Siwoo,Kiin,Lucid (Choi Yong-hyeok),Canyon,ShowMaker,Kemish,Aiming,About,BeryL,Duro
2024 LoL KeSPA Cup_Semifinals_2_1,2024-12-07 09:37:00,14.23,39.7,Gen.G,Dplus KIA,1,K'Sante,Zyra,Ahri,Ashe,Braum,Ambessa,Nocturne,Azir,Varus,Rakan,14,20,74083,72596,2,3,1,1,8,7,LeBlanc,Aurora,Vi,Skarner,Sejuani,Nidalee,Orianna,Yone,Bard,Corki,Kiin,Siwoo,Canyon,Lucid (Choi Yong-hyeok),Kemish,ShowMaker,About,Aiming,Duro,BeryL
2024 LoL KeSPA Cup_Semifinals_1_3,2024-12-07 08:07:00,14.23,33.333333333333,OKSavingsBank BRION,Hanwha Life Esports,1,Renekton,Vi,Taliyah,Varus,Rakan,K'Sante,Zyra,Corki,Ezreal,Maokai,24,11,66986,57244,3,1,0,0,8,2,Rumble,Skarner,Viego,Aurora,Yone,Ambessa,Kai'Sa,Kalista,Poppy,Ashe,Morgan,Rooster,HamBak,Grizzly,Clozer,Zeka (Kim Geon-woo),Hype (Byeon Jeong-hyeon),Viper (Park Do-hyeon),Pollu,Delight
2024 LoL KeSPA Cup_Semifinals_1_2,2024-12-07 07:12:00,14.23,32.383333333333,Hanwha Life Esports,OKSavingsBank BRION,1,Maokai,Viego,Yone,Kai'Sa,Leona,K'Sante,Vi,Ahri,Varus,Alistar,19,11,63642,54142,4,1,1,0,10,3,Skarner,Rumble,Aurora,Corki,Ambessa,Azir,Rakan,Poppy,Kalista,Renata Glasc,Rooster,Morgan,Grizzly,HamBak,Zeka (Kim Geon-woo),Clozer,Viper (Park Do-hyeon),Hype (Byeon Jeong-hyeon),Delight,Pollu
2024 LoL KeSPA Cup_Semifinals_1_1,2024-12-07 06:08:00,14.23,38.9,OKSavingsBank BRION,Hanwha Life Esports,1,Ambessa,Nocturne,Aurora,Zeri,Nautilus,K'Sante,Sejuani,Yone,Xayah,Rakan,21,19,72118,74152,1,5,0,3,7,5,Corki,Skarner,Viego,Renekton,Rumble,Vi,Kai'Sa,Varus,Kalista,Ashe,Morgan,Rooster,HamBak,Grizzly,Clozer,Zeka (Kim Geon-woo),Hype (Byeon Jeong-hyeon),Viper (Park Do-hyeon),Pollu,Delight
